Red: Red de Vigilancia y Control de la Contaminaci�n Atmosf�rica,,,,,,,,,,
Estaci�n: 46250047-Val�ncia - Avd. Francia,,,,,,,,,,

FECHA,Veloc.,Direc.,PM2.5,SO2,CO,NO,NO2,PM10,NOx,O3
,m/s,grados,�g/m�,�g/m�,mg/m�,�g/m�,�g/m�,�g/m�,�g/m�,�g/m�
01/01/2023,"0,9",358,17,4,"0,1",2,11,24,14,28
02/01/2023,"0,6",318,21,3,"0,2",7,18,37,29,20
03/01/2023,"0,5",19,26,3,"0,2",11,22,40,40,17
04/01/2023,"0,7",321,20,4,"0,2",11,21,35,37,16
05/01/2023,"0,7",241,21,4,"0,2",8,22,31,34,18
06/01/2023,"0,5",223,20,4,"0,2",6,16,24,25,22
07/01/2023,"1,8",240,14,4,"0,2",2,9,20,12,37
08/01/2023,"3,4",244,4,3,"0,1",2,4,10,8,48
09/01/2023,2,282,4,3,"0,1",3,14,12,18,36
10/01/2023,"0,7",262,7,4,"0,1",5,17,20,24,26
11/01/2023,"0,9",281,8,4,"0,2",6,18,22,28,17
12/01/2023,"0,9",234,9,4,"0,2",4,16,21,22,26
13/01/2023,"0,7",237,14,4,"0,2",9,21,40,34,16
14/01/2023,"1,6",233,11,4,"0,2",4,12,21,18,29
15/01/2023,"2,6",247,7,4,"0,2",2,4,19,7,40
16/01/2023,"4,9",242,4,3,"0,1",2,3,31,6,51
17/01/2023,5,260,3,3,"0,1",2,4,39,7,62
18/01/2023,"2,7",279,2,4,"0,1",2,5,6,8,51
19/01/2023,"3,3",263,3,4,"0,2",2,3,8,6,50
20/01/2023,"2,7",275,4,4,"0,1",3,10,18,15,46
21/01/2023,"3,1",353,4,4,"0,2",3,6,15,10,49
22/01/2023,"1,8",313,3,4,"0,2",2,2,6,5,60
23/01/2023,1,350,7,3,"0,2",7,12,24,24,36
24/01/2023,"1,4",13,9,3,"0,2",2,8,21,12,36
25/01/2023,"1,6",332,10,3,"0,2",5,15,32,23,30
26/01/2023,"1,7",226,11,3,"0,1",13,17,28,37,28
27/01/2023,"1,3",212,9,3,"0,1",5,18,22,27,28
28/01/2023,"1,3",289,7,3,"0,1",4,10,14,17,41
29/01/2023,1,344,7,3,"0,1",2,5,11,8,39
30/01/2023,"1,2",271,13,3,"0,1",4,12,23,18,31
31/01/2023,"1,1",349,16,3,"0,1",8,20,29,32,26
01/02/2023,1,272,20,3,"0,1",11,22,36,39,27
02/02/2023,"1,2",243,21,3,"0,1",5,20,36,28,31
03/02/2023,"0,9",284,19,3,"0,1",9,28,39,41,24
04/02/2023,"1,2",208,15,3,"0,2",10,28,41,43,23
05/02/2023,"0,8",19,13,3,"0,2",3,20,24,25,27
06/02/2023,"4,6",30,11,3,"0,1",2,11,20,14,36
07/02/2023,"3,2",37,9,3,"0,1",2,8,23,11,45
08/02/2023,4,32,8,3,"0,1",2,8,10,11,44
09/02/2023,"3,1",48,7,3,"0,1",2,6,16,9,54
10/02/2023,"0,8",336,15,3,"0,1",8,20,22,32,28
11/02/2023,"1,7",31,13,3,"0,1",2,12,19,15,44
12/02/2023,"0,9",6,16,3,"0,1",3,12,20,17,49
13/02/2023,"0,8",357,17,3,"0,1",4,18,26,24,35
14/02/2023,"1,3",42,18,3,"0,1",4,13,23,19,48
15/02/2023,"1,4",53,13,3,"0,1",2,12,18,16,50
16/02/2023,"0,9",55,22,3,"0,1",7,18,30,29,36
17/02/2023,"0,9",245,27,3,"0,1",8,22,42,35,31
18/02/2023,"0,4",214,21,3,"0,1",6,19,32,28,34
19/02/2023,"0,7",188,29,3,"0,1",8,25,39,37,22
20/02/2023,"0,7",79,35,3,"0,1",14,31,53,53,19
21/02/2023,"0,7",118,29,3,"0,1",18,36,63,62,14
22/02/2023,"1,5",46,35,3,"0,1",11,23,47,39,28
23/02/2023,1,24,37,3,"0,1",5,20,58,27,28
24/02/2023,"1,6",212,5,3,"0,2",3,14,16,19,32
25/02/2023,"2,3",258,8,3,"0,1",2,9,17,12,
26/02/2023,"2,4",301,4,3,"0,1",2,3,16,6,
27/02/2023,"3,7",339,4,3,"0,2",2,3,15,6,
28/02/2023,"1,6",329,6,3,"0,2",2,8,19,11,
